r,A,Q,rho,mdot,v0,vi,v3,F,E
0.01,0.000314159265358979,0.00954533792131984,1.293,0.0123421219322666,0,30.3837542732114,60.7675085464228,1.5,22.7878157049085
0.0109090909090909,0.000373875489352835,0.0104130959141671,1.293,0.0134641330170181,0,27.8517747504438,55.7035495008876,1.5,20.8888310628328
0.0118181818181818,0.000438784428476591,0.0112808539070144,1.293,0.0145861441017696,0,25.7093305388712,51.4186610777424,1.5,19.2819979041534
0.0127272727272727,0.000508886082730248,0.0121486118998616,1.293,0.0157081551865211,0,23.8729497860947,47.7458995721893,1.5,17.904712339571
0.0136363636363636,0.000584180452113805,0.0130163698927089,1.293,0.0168301662712726,0,22.281419800355,44.56283960071,1.5,16.7110648502663
0.0145454545454545,0.000664667536627262,0.0138841278855561,1.293,0.0179521773560241,0,20.8888310628328,41.7776621256657,1.5,15.6666232971246
0.0154545454545455,0.00075034733627062,0.0147518858784034,1.293,0.0190741884407756,0,19.6600762944309,39.3201525888618,1.5,14.7450572208232
0.0163636363636364,0.000841219851043879,0.0156196438712507,1.293,0.0201961995255271,0,18.5678498336292,37.1356996672584,1.5,13.9258873752219
0.0172727272727273,0.000937285080947037,0.0164874018640979,1.293,0.0213182106102786,0,17.5905945792277,35.1811891584553,1.5,13.1929459344207
0.0181818181818182,0.0010385430259801,0.0173551598569452,1.293,0.0224402216950301,0,16.7110648502663,33.4221297005325,1.5,12.5332986376997
0.0190909090909091,0.00114499368614306,0.0182229178497924,1.293,0.0235622327797816,0,15.9152998573964,31.8305997147929,1.5,11.9364748930473
0.02,0.00125663706143592,0.0190906758426397,1.293,0.0246842438645331,0,15.1918771366057,30.3837542732114,1.5,11.3939078524543
0.0209090909090909,0.00137347315185868,0.0199584338354869,1.293,0.0258062549492846,0,14.531360739362,29.0627214787239,1.5,10.8985205545215
0.0218181818181818,0.00149550195741134,0.0208261918283342,1.293,0.0269282660340361,0,13.9258873752219,27.8517747504438,1.5,10.4444155314164
0.0227272727272727,0.0016227234780939,0.0216939498211815,1.293,0.0280502771187876,0,13.368851880213,26.737703760426,1.5,10.0266389101598
0.0236363636363636,0.00175513771390636,0.0225617078140287,1.293,0.0291722882035391,0,12.8546652694356,25.7093305388712,1.5,9.64099895207669
0.0245454545454545,0.00189274466484873,0.023429465806876,1.293,0.0302942992882906,0,12.3785665557528,24.7571331115056,1.5,9.28392491681459
0.0254545454545455,0.00203554433092099,0.0242972237997232,1.293,0.0314163103730421,0,11.9364748930473,23.8729497860947,1.5,8.9523561697855
0.0263636363636364,0.00218353671212315,0.0251649817925705,1.293,0.0325383214577936,0,11.5248723105285,23.0497446210569,1.5,8.64365423289634
0.0272727272727273,0.00233672180845522,0.0260327397854177,1.293,0.0336603325425451,0,11.1407099001775,22.281419800355,1.5,8.35553242513314
0.0281818181818182,0.00249509961991718,0.026900497778265,1.293,0.0347823436272967,0,10.7813321614621,21.5626643229242,1.5,8.08599912109658
0.0290909090909091,0.00265867014650905,0.0277682557711123,1.293,0.0359043547120482,0,10.4444155314164,20.8888310628328,1.5,7.83331164856231
0.03,0.00282743338823081,0.0286360137639595,1.293,0.0370263657967997,0,10.1279180910705,20.2558361821409,1.5,7.59593856830285
0.0309090909090909,0.00300138934508248,0.0295037717568068,1.293,0.0381483768815512,0,9.83003814721545,19.6600762944309,1.5,7.37252861041159
0.0318181818181818,0.00318053801706405,0.030371529749654,1.293,0.0392703879663027,0,9.54917991443787,19.0983598288757,1.5,7.1618849358284
0.0327272727272727,0.00336487940417551,0.0312392877425013,1.293,0.0403923990510542,0,9.28392491681459,18.5678498336292,1.5,6.96294368761095
0.0336363636363636,0.00355441350641688,0.0321070457353486,1.293,0.0415144101358057,0,9.03300802717096,18.0660160543419,1.5,6.77475602037822
0.0345454545454545,0.00374914032378815,0.0329748037281958,1.293,0.0426364212205572,0,8.79529728961383,17.5905945792277,1.5,6.59647296721037
0.0354545454545455,0.00394905985628932,0.0338425617210431,1.293,0.0437584323053087,0,8.56977684629039,17.1395536925808,1.5,6.4273326347178
0.0363636363636364,0.00415417210392039,0.0347103197138903,1.293,0.0448804433900602,0,8.35553242513313,16.7110648502663,1.5,6.26664931884985
0.0372727272727273,0.00436447706668136,0.0355780777067376,1.293,0.0460024544748117,0,8.1517389513494,16.3034779026988,1.5,6.11380421351205
0.0381818181818182,0.00457997474457223,0.0364458356995849,1.293,0.0471244655595632,0,7.95764992869822,15.9152998573964,1.5,5.96823744652367
0.0390909090909091,0.004800665137593,0.0373135936924321,1.293,0.0482464766443147,0,7.77258830244943,15.5451766048989,1.5,5.82944122683707
0.04,0.00502654824574367,0.0381813516852794,1.293,0.0493684877290662,0,7.59593856830285,15.1918771366057,1.5,5.69695392622714
0.0409090909090909,0.00525762406902424,0.0390491096781266,1.293,0.0504904988138177,0,7.42713993345167,14.8542798669033,1.5,5.57035495008876
0.0418181818181818,0.00549389260743471,0.0399168676709739,1.293,0.0516125098985692,0,7.26568036968098,14.531360739362,1.5,5.44926027726074
0.0427272727272727,0.00573535386097509,0.0407846256638211,1.293,0.0527345209833207,0,7.11109142564522,14.2221828512904,1.5,5.33331856923391
0.0436363636363636,0.00598200782964536,0.0416523836566684,1.293,0.0538565320680722,0,6.96294368761094,13.9258873752219,1.5,5.22220776570821
0.0445454545454545,0.00623385451344553,0.0425201416495157,1.293,0.0549785431528237,0,6.82084279602705,13.6416855920541,1.5,5.11563209702029
0.0454545454545455,0.00649089391237561,0.0433878996423629,1.293,0.0561005542375752,0,6.68442594010651,13.368851880213,1.5,5.01331945507988
