r,A,Q,rho,mdot,v0,vi,v3,F,E
0.01,0.000314159265358979,0.0220440136735198,1.293,0.0285029096798611,0,70.1682748345202,140.33654966904,8,280.673099338081
0.0109090909090909,0.000373875489352835,0.0240480149165671,1.293,0.0310940832871212,0,64.3209185983101,128.64183719662,8,257.283674393241
0.0118181818181818,0.000438784428476591,0.0260520161596143,1.293,0.0336852568943813,0,59.3731556292094,118.746311258419,8,237.492622516837
0.0127272727272727,0.000508886082730248,0.0280560174026616,1.293,0.0362764305016414,0,55.1322159414087,110.264431882817,8,220.528863765635
0.0136363636363636,0.000584180452113805,0.0300600186457088,1.293,0.0388676041089015,0,51.4567348786481,102.913469757296,8,205.826939514592
0.0145454545454545,0.000664667536627262,0.0320640198887561,1.293,0.0414587777161616,0,48.2406889487326,96.4813778974652,8,192.96275579493
0.0154545454545455,0.00075034733627062,0.0340680211318034,1.293,0.0440499513234217,0,45.4030013635131,90.8060027270261,8,181.612005454052
0.0163636363636364,0.000841219851043879,0.0360720223748506,1.293,0.0466411249306818,0,42.8806123988734,85.7612247977469,8,171.522449595494
0.0172727272727273,0.000937285080947037,0.0380760236178979,1.293,0.0492322985379419,0,40.6237380620906,81.2474761241812,8,162.494952248362
0.0181818181818182,0.0010385430259801,0.0400800248609451,1.293,0.051823472145202,0,38.5925511589861,77.1851023179722,8,154.370204635944
0.0190909090909091,0.00114499368614306,0.0420840261039924,1.293,0.0544146457524621,0,36.7548106276058,73.5096212552116,8,147.019242510423
0.02,0.00125663706143592,0.0440880273470396,1.293,0.0570058193597222,0,35.0841374172601,70.1682748345202,8,140.33654966904
0.0209090909090909,0.00137347315185868,0.0460920285900869,1.293,0.0595969929669823,0,33.5587401382488,67.1174802764975,8,134.234960552995
0.0218181818181818,0.00149550195741134,0.0480960298331341,1.293,0.0621881665742424,0,32.1604592991551,64.3209185983101,8,128.64183719662
0.0227272727272727,0.0016227234780939,0.0501000310761814,1.293,0.0647793401815025,0,30.8740409271889,61.7480818543778,8,123.496163708756
0.0236363636363636,0.00175513771390636,0.0521040323192286,1.293,0.0673705137887626,0,29.6865778146047,59.3731556292094,8,118.746311258419
0.0245454545454545,0.00189274466484873,0.0541080335622759,1.293,0.0699616873960227,0,28.5870749325823,57.1741498651646,8,114.348299730329
0.0254545454545455,0.00203554433092099,0.0561120348053232,1.293,0.0725528610032829,0,27.5661079707043,55.1322159414087,8,110.264431882817
0.0263636363636364,0.00218353671212315,0.0581160360483704,1.293,0.0751440346105429,0,26.6155525234387,53.2311050468774,8,106.462210093755
0.0272727272727273,0.00233672180845522,0.0601200372914177,1.293,0.077735208217803,0,25.7283674393241,51.4567348786481,8,102.913469757296
0.0281818181818182,0.00249509961991718,0.0621240385344649,1.293,0.0803263818250631,0,24.8984201025717,49.7968402051433,8,99.5936804102867
0.0290909090909091,0.00265867014650905,0.0641280397775122,1.293,0.0829175554323232,0,24.1203444743663,48.2406889487326,8,96.4813778974652
0.03,0.00282743338823081,0.0661320410205594,1.293,0.0855087290395833,0,23.3894249448401,46.7788498896801,8,93.5576997793602
0.0309090909090909,0.00300138934508248,0.0681360422636067,1.293,0.0880999026468435,0,22.7015006817565,45.403001363513,8,90.8060027270261
0.0318181818181818,0.00318053801706405,0.070140043506654,1.293,0.0906910762541036,0,22.0528863765635,44.105772753127,8,88.2115455062539
0.0327272727272727,0.00336487940417551,0.0721440447497012,1.293,0.0932822498613637,0,21.4403061994367,42.8806123988734,8,85.7612247977469
0.0336363636363636,0.00355441350641688,0.0741480459927485,1.293,0.0958734234686238,0,20.8608384643168,41.7216769286336,8,83.4433538572672
0.0345454545454545,0.00374914032378815,0.0761520472357957,1.293,0.0984645970758839,0,20.3118690310453,40.6237380620906,8,81.2474761241812
0.0354545454545455,0.00394905985628932,0.078156048478843,1.293,0.101055770683144,0,19.7910518764031,39.5821037528062,8,79.1642075056125
0.0363636363636364,0.00415417210392039,0.0801600497218902,1.293,0.103646944290404,0,19.296275579493,38.5925511589861,8,77.1851023179722
0.0372727272727273,0.00436447706668136,0.0821640509649375,1.293,0.106238117897664,0,18.8256347117005,37.6512694234011,8,75.3025388468021
0.0381818181818182,0.00457997474457223,0.0841680522079847,1.293,0.108829291504924,0,18.3774053138029,36.7548106276058,8,73.5096212552116
0.0390909090909091,0.004800665137593,0.086172053451032,1.293,0.111420465112184,0,17.9500237948773,35.9000475897545,8,71.800095179509
0.04,0.00502654824574367,0.0881760546940792,1.293,0.114011638719444,0,17.54206870863,35.0841374172601,8,70.1682748345201
0.0409090909090909,0.00525762406902424,0.0901800559371265,1.293,0.116602812326705,0,17.1522449595494,34.3044899190987,8,68.6089798381975
0.0418181818181818,0.00549389260743471,0.0921840571801738,1.293,0.119193985933965,0,16.7793700691244,33.5587401382488,8,67.1174802764975
0.0427272727272727,0.00573535386097509,0.094188058423221,1.293,0.121785159541225,0,16.4223621953132,32.8447243906265,8,65.6894487812529
0.0436363636363636,0.00598200782964536,0.0961920596662683,1.293,0.124376333148485,0,16.0802296495775,32.1604592991551,8,64.3209185983101
0.0445454545454545,0.00623385451344553,0.0981960609093155,1.293,0.126967506755745,0,15.7520616975453,31.5041233950907,8,63.0082467901814
0.0454545454545455,0.00649089391237561,0.100200062152363,1.293,0.129558680363005,0,15.4370204635944,30.8740409271889,8,61.7480818543778
0.0463636363636364,0.00675312602643558,0.10220406339541,1.293,0.132149853970265,0,15.1343337878377,30.2686675756754,8,60.5373351513507
